bout_id,fighter_id,round,fighter,td_s,td_s_pr_di,td_s_p15m,td_s_p15m_di,td_a,td_a_pr_di,td_a_p15m,td_a_p15m_di,sba,sba_pr_di,sba_p15m,sba_p15m_di,rev,rev_pr_di,rev_p15m,rev_p15m_di,ps,ps_pr_di,ps_p15m,ps_p15m_di
9c0721bd410e7a0e,ee9ebceabfd16fa7,1,Kevin Lee,2,2,6.0,6.0,3,3,9.0,9.0,0,-1,0.0,-3.0,0,0,0.0,0.0,1,1,3.0,3.0
9c0721bd410e7a0e,ee9ebceabfd16fa7,2,Kevin Lee,1,1,3.0,3.0,4,4,12.0,12.0,0,-1,0.0,-3.0,0,0,0.0,0.0,1,1,3.0,3.0
9c0721bd410e7a0e,ee9ebceabfd16fa7,3,Kevin Lee,1,1,3.0,3.0,2,2,6.0,6.0,0,0,0.0,0.0,0,0,0.0,0.0,1,1,3.0,3.0
9c1d4f57a997a490,b6c4451cb13c9303,1,Andy Ogle,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
9c256e94c6b584b6,7be74a12d7352df2,1,Sara McMann,2,2,24.324324324324323,24.324324324324323,2,2,24.324324324324323,24.324324324324323,1,1,12.162162162162161,12.162162162162161,0,0,0.0,0.0,2,2,24.324324324324323,24.324324324324323
9c354bd6ea1bf25a,d29b5c4f22c6357d,1,Gilbert Yvel,0,-1,0.0,-8.333333333333332,0,-1,0.0,-8.333333333333332,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
9c3c0818f0c32768,fe435e440b5de0ff,3,Jake Shields,0,-1,0.0,-3.0,2,1,6.0,3.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
9c3c0818f0c32768,fe435e440b5de0ff,4,Jake Shields,0,-1,0.0,-3.0,2,1,6.0,3.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
9c3c0818f0c32768,fe435e440b5de0ff,5,Jake Shields,0,0,0.0,0.0,0,-1,0.0,-3.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
9c3c0818f0c32768,fe435e440b5de0ff,1,Jake Shields,0,0,0.0,0.0,1,1,3.0,3.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
9c3c0818f0c32768,fe435e440b5de0ff,2,Jake Shields,0,0,0.0,0.0,1,1,3.0,3.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
9c3db86db300119e,c849740a3ff51931,2,TJ Dillashaw,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
9c3db86db300119e,c849740a3ff51931,1,TJ Dillashaw,2,2,6.0,6.0,3,2,9.0,6.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
9c3f3bc7f7472e0c,fcce75a25c14a804,1,Bojan Velickovic,0,-1,0.0,-3.0,1,-2,3.0,-6.0,0,0,0.0,0.0,0,0,0.0,0.0,0,-1,0.0,-3.0
9c3f3bc7f7472e0c,fcce75a25c14a804,2,Bojan Velickovic,1,1,3.0,3.0,1,0,3.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
9c3f3bc7f7472e0c,fcce75a25c14a804,3,Bojan Velickovic,0,0,0.0,0.0,2,1,6.498194945848375,3.2490974729241877,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
9c3fb95a1558b38d,c5af5750e8bae4f0,1,Kyle Bochniak,1,1,3.0,3.0,4,4,12.0,12.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
9c3fb95a1558b38d,c5af5750e8bae4f0,2,Kyle Bochniak,0,0,0.0,0.0,5,5,15.0,15.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
