bout_id,fighter_id,round,fighter,ss_s,ss_s_pr_di,ss_s_p15m,ss_s_p15m_di,ss_a,ss_a_pr_di,ss_a_p15m,ss_a_p15m_di,ts_s,ts_s_pr_di,ts_s_p15m,ts_s_p15m_di,ts_a,ts_a_pr_di,ts_a_p15m,ts_a_p15m_di,kd,kd_pr_di,kd_p15m,kd_p15m_di
8a9a37d68cc428d6,1fe7adb23b3eedfb,3,Yuki Kondo,15,15,91.21621621621621,91.21621621621621,25,23,152.02702702702703,139.86486486486487,19,19,115.54054054054053,115.54054054054053,31,29,188.51351351351352,176.35135135135135,1,1,6.081081081081081,6.081081081081081
ae54f944d1ba378f,b4bc2e3353a770b5,1,Ian Freeman,0,-21,0.0,-63.0,2,-23,6.0,-69.0,3,-36,9.0,-108.0,5,-38,15.0,-114.0,0,0,0.0,0.0
ae54f944d1ba378f,b4bc2e3353a770b5,2,Ian Freeman,13,12,39.0,36.0,22,21,66.0,63.0,25,21,75.0,63.0,34,30,102.0,90.0,0,0,0.0,0.0
ae54f944d1ba378f,b4bc2e3353a770b5,3,Ian Freeman,17,14,51.0,42.0,37,34,111.0,102.0,27,24,81.0,72.0,47,44,141.0,132.0,0,0,0.0,0.0
075dee476361e83e,c7e9d15cfce52f1d,1,Tim Lajcik,2,-12,6.0,-36.0,3,-21,9.0,-63.0,23,-60,69.0,-180.0,28,-70,84.0,-210.0,0,0,0.0,0.0
075dee476361e83e,c7e9d15cfce52f1d,2,Tim Lajcik,3,-14,9.0,-42.0,11,-27,33.0,-81.0,17,-22,51.0,-66.0,26,-36,78.0,-108.0,0,0,0.0,0.0
c078544a32e18ba3,4d74641fac830182,1,Brad Gumm,14,-9,42.0,-27.0,23,-16,69.0,-48.0,44,1,132.0,3.0,54,-6,162.0,-18.0,0,0,0.0,0.0
c078544a32e18ba3,4d74641fac830182,2,Brad Gumm,4,-1,12.0,-3.0,10,-6,30.0,-18.0,44,24,132.0,72.0,52,18,156.0,54.0,0,0,0.0,0.0
cef1b43c77e02635,6859f67468ba8489,1,Kevin Randleman,6,6,18.0,18.0,10,4,30.0,12.0,15,11,45.0,33.0,20,8,60.0,24.0,0,0,0.0,0.0
cef1b43c77e02635,6859f67468ba8489,2,Kevin Randleman,3,-4,9.0,-12.0,11,-11,33.0,-33.0,3,-4,9.0,-12.0,11,-11,33.0,-33.0,0,0,0.0,0.0
cef1b43c77e02635,6859f67468ba8489,3,Kevin Randleman,1,-4,3.0,-12.0,13,-7,39.0,-21.0,1,-4,3.0,-12.0,14,-6,42.0,-18.0,0,0,0.0,0.0
cef1b43c77e02635,6859f67468ba8489,4,Kevin Randleman,3,3,9.0,9.0,9,1,27.0,3.0,3,3,9.0,9.0,9,1,27.0,3.0,0,0,0.0,0.0
cef1b43c77e02635,6859f67468ba8489,5,Kevin Randleman,4,4,12.0,12.0,9,8,27.0,24.0,11,11,33.0,33.0,16,15,48.0,45.0,0,0,0.0,0.0
60e5b2c1bdaa203e,c2a7623f398d9bd7,1,David Dodd,4,-2,12.0,-6.0,13,-3,39.0,-9.0,15,-46,45.0,-138.0,24,-57,72.0,-171.0,0,0,0.0,0.0
60e5b2c1bdaa203e,c2a7623f398d9bd7,2,David Dodd,3,-1,9.0,-3.0,5,-9,15.0,-27.0,9,-27,27.0,-81.0,12,-38,36.0,-114.0,0,0,0.0,0.0
60e5b2c1bdaa203e,c2a7623f398d9bd7,3,David Dodd,3,-3,9.0,-9.0,13,-17,39.0,-51.0,3,-5,9.0,-15.0,13,-19,39.0,-57.0,0,0,0.0,0.0
f0b2020d11a0cf94,7a15f3694c5cbc02,1,John Alessio,0,-5,0.0,-15.0,0,-9,0.0,-27.0,8,-26,24.0,-78.0,8,-30,24.0,-90.0,0,0,0.0,0.0
f0b2020d11a0cf94,7a15f3694c5cbc02,2,John Alessio,1,-3,8.737864077669904,-26.213592233009713,2,-7,17.47572815533981,-61.16504854368932,1,-9,8.737864077669904,-78.64077669902915,2,-13,17.47572815533981,-113.59223300970875,0,0,0.0,0.0
a0dfc397caef4afe,1562b12763cc8d67,1,Alex Andrade,10,5,30.0,15.0,15,8,45.0,24.0,28,13,84.0,39.0,33,16,99.0,48.0,1,1,3.0,3.0
